"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.683333333333333,0.932926829268293,0.788461538461539,0.88953488372093,0.788461538461538,0.683333333333333,0.732142857142857,0.267857142857143,0.183035714285714,0.232142857142857,0.808130081300813
"Class: Reproductive",0.619047619047619,0.923076923076923,0.65,0.91304347826087,0.65,0.619047619047619,0.634146341463415,0.1875,0.116071428571429,0.178571428571429,0.771062271062271
"Class: Ripening",0.625,0.886363636363636,0.6,0.896551724137931,0.6,0.625,0.612244897959184,0.214285714285714,0.133928571428571,0.223214285714286,0.755681818181818
"Class: Vegetative",0.810810810810811,0.853333333333333,0.731707317073171,0.901408450704225,0.731707317073171,0.810810810810811,0.769230769230769,0.330357142857143,0.267857142857143,0.366071428571429,0.832072072072072
