"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.7,0.939024390243902,0.807692307692308,0.895348837209302,0.807692307692308,0.7,0.75,0.267857142857143,0.1875,0.232142857142857,0.819512195121951
"Class: Reproductive",0.571428571428571,0.917582417582418,0.615384615384615,0.902702702702703,0.615384615384615,0.571428571428571,0.592592592592593,0.1875,0.107142857142857,0.174107142857143,0.744505494505495
"Class: Ripening",0.645833333333333,0.857954545454545,0.553571428571428,0.898809523809524,0.553571428571429,0.645833333333333,0.596153846153846,0.214285714285714,0.138392857142857,0.25,0.751893939393939
"Class: Vegetative",0.797297297297297,0.88,0.766233766233766,0.897959183673469,0.766233766233766,0.797297297297297,0.781456953642384,0.330357142857143,0.263392857142857,0.34375,0.838648648648649
