"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ EVI","svmLinear",530,224,1,"noProc",1,0.471698113207547,0.271913728645583,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"2","Phase ~ EVI","svmLinear",530,224,1,"noProc",2,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"3","Phase ~ EVI","svmLinear",530,224,1,"noProc",4,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"4","Phase ~ EVI","svmLinear",530,224,1,"noProc",8,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"5","Phase ~ EVI","svmLinear",530,224,1,"noProc",16,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"6","Phase ~ EVI","svmLinear",530,224,1,"noProc",32,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"7","Phase ~ EVI","svmLinear",530,224,1,"noProc",64,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"8","Phase ~ EVI","svmLinear",530,224,1,"noProc",128,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"9","Phase ~ EVI","svmLinear",530,224,1,"noProc",256,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
"10","Phase ~ EVI","svmLinear",530,224,1,"noProc",512,0.469811320754717,0.269266813536203,0.464285714285714,0.259136762030759,0.397601217979266,0.531927906279368,0.330357142857143,2.15893737153414e-05,NA,0,0.595238095238095,0.458333333333333,0.77027027027027,1,0.895604395604396,0.846590909090909,0.506666666666667,NA,0.568181818181818,0.448979591836735,0.435114503816794,0.732142857142857,0.905555555555556,0.851428571428571,0.817204301075269,NA,0.568181818181818,0.448979591836735,0.435114503816794,0,0.595238095238095,0.458333333333333,0.77027027027027,NA,0.581395348837209,0.45360824742268,0.55609756097561,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0,0.111607142857143,0.0982142857142857,0.254464285714286,0,0.196428571428571,0.21875,0.584821428571429,0.5,0.745421245421245,0.652462121212121,0.638468468468468
