"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.683333333333333,0.926829268292683,0.773584905660377,0.888888888888889,0.773584905660377,0.683333333333333,0.725663716814159,0.267857142857143,0.183035714285714,0.236607142857143,0.805081300813008
"Class: Reproductive",0.452380952380952,0.917582417582418,0.558823529411765,0.878947368421053,0.558823529411765,0.452380952380952,0.5,0.1875,0.0848214285714286,0.151785714285714,0.684981684981685
"Class: Ripening",0.625,0.8125,0.476190476190476,0.888198757763975,0.476190476190476,0.625,0.54054054054054,0.214285714285714,0.133928571428571,0.28125,0.71875
"Class: Vegetative",0.689189189189189,0.846666666666667,0.689189189189189,0.846666666666667,0.689189189189189,0.689189189189189,0.689189189189189,0.330357142857143,0.227678571428571,0.330357142857143,0.767927927927928
