"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.566666666666667,0.963414634146341,0.85,0.858695652173913,0.85,0.566666666666667,0.68,0.267857142857143,0.151785714285714,0.178571428571429,0.765040650406504
"Class: Reproductive",0.357142857142857,0.928571428571429,0.535714285714286,0.862244897959184,0.535714285714286,0.357142857142857,0.428571428571429,0.1875,0.0669642857142857,0.125,0.642857142857143
"Class: Ripening",0.541666666666667,0.829545454545455,0.464285714285714,0.869047619047619,0.464285714285714,0.541666666666667,0.5,0.214285714285714,0.116071428571429,0.25,0.685606060606061
"Class: Vegetative",0.810810810810811,0.733333333333333,0.6,0.887096774193548,0.6,0.810810810810811,0.689655172413793,0.330357142857143,0.267857142857143,0.446428571428571,0.772072072072072
