"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.7,0.926829268292683,0.777777777777778,0.894117647058823,0.777777777777778,0.7,0.736842105263158,0.267857142857143,0.1875,0.241071428571429,0.813414634146342
"Class: Reproductive",0.547619047619048,0.945054945054945,0.696969696969697,0.900523560209424,0.696969696969697,0.547619047619048,0.613333333333333,0.1875,0.102678571428571,0.147321428571429,0.746336996336996
"Class: Ripening",0.729166666666667,0.846590909090909,0.564516129032258,0.919753086419753,0.564516129032258,0.729166666666667,0.636363636363636,0.214285714285714,0.15625,0.276785714285714,0.787878787878788
"Class: Vegetative",0.77027027027027,0.88,0.76,0.885906040268456,0.76,0.77027027027027,0.76510067114094,0.330357142857143,0.254464285714286,0.334821428571429,0.825135135135135
