"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.616666666666667,0.920731707317073,0.74,0.867816091954023,0.74,0.616666666666667,0.672727272727273,0.267857142857143,0.165178571428571,0.223214285714286,0.76869918699187
"Class: Reproductive",0.619047619047619,0.906593406593407,0.604651162790698,0.911602209944751,0.604651162790698,0.619047619047619,0.611764705882353,0.1875,0.116071428571429,0.191964285714286,0.762820512820513
"Class: Ripening",0.604166666666667,0.863636363636364,0.547169811320755,0.888888888888889,0.547169811320755,0.604166666666667,0.574257425742574,0.214285714285714,0.129464285714286,0.236607142857143,0.733901515151515
"Class: Vegetative",0.77027027027027,0.86,0.730769230769231,0.883561643835617,0.730769230769231,0.77027027027027,0.75,0.330357142857143,0.254464285714286,0.348214285714286,0.815135135135135
