"","Overall","Bare land","Reproductive","Ripening","Vegetative"
"Blue",32.9662038763389,32.9662038763389,32.9662038763389,32.9662038763389,32.9662038763389
"Green",61.5494620151684,61.5494620151684,61.5494620151684,61.5494620151684,61.5494620151684
"Red",100,100,100,100,100
"NIR",17.4498097769513,17.4498097769513,17.4498097769513,17.4498097769513,17.4498097769513
"SWIR1",0,0,0,0,0
"SWIR2",39.562794184354,39.562794184354,39.562794184354,39.562794184354,39.562794184354
