"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.7,0.926829268292683,0.777777777777778,0.894117647058823,0.777777777777778,0.7,0.736842105263158,0.267857142857143,0.1875,0.241071428571429,0.813414634146342
"Class: Reproductive",0.571428571428571,0.923076923076923,0.631578947368421,0.903225806451613,0.631578947368421,0.571428571428571,0.6,0.1875,0.107142857142857,0.169642857142857,0.747252747252747
"Class: Ripening",0.666666666666667,0.863636363636364,0.571428571428571,0.904761904761905,0.571428571428571,0.666666666666667,0.615384615384615,0.214285714285714,0.142857142857143,0.25,0.765151515151515
"Class: Vegetative",0.797297297297297,0.886666666666667,0.776315789473684,0.898648648648649,0.776315789473684,0.797297297297297,0.786666666666667,0.330357142857143,0.263392857142857,0.339285714285714,0.841981981981982
