"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.size","results.decay","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",1,0,0.59622641509434,0.452421184763192,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"2","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",1,1e-04,0.590566037735849,0.444380030339044,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"3","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",1,0.001,0.60377358490566,0.463021840971482,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"4","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",1,0.01,0.6,0.458163949288466,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"5","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",1,0.1,0.60188679245283,0.461745056891473,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"6","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",2,0,0.630188679245283,0.500747341051852,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"7","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",2,1e-04,0.633962264150943,0.506342362758184,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"8","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",2,0.001,0.650943396226415,0.528959049943312,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"9","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",2,0.01,0.647169811320755,0.524047350349365,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
"10","Phase ~ LSWI + EVI","nnet",530,224,2,"noProc",2,0.1,0.635849056603774,0.50778336501215,0.602678571428571,0.45398773006135,0.53535198127968,0.667249605028125,0.330357142857143,6.77396300346743e-17,8.34794755530018e-09,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.963414634146341,0.928571428571429,0.829545454545455,0.733333333333333,0.85,0.535714285714286,0.464285714285714,0.6,0.858695652173913,0.862244897959184,0.869047619047619,0.887096774193548,0.85,0.535714285714286,0.464285714285714,0.6,0.566666666666667,0.357142857142857,0.541666666666667,0.810810810810811,0.68,0.428571428571429,0.5,0.689655172413793,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.151785714285714,0.0669642857142857,0.116071428571429,0.267857142857143,0.178571428571429,0.125,0.25,0.446428571428571,0.765040650406504,0.642857142857143,0.685606060606061,0.772072072072072
