"","x"
"Accuracy",0.683035714285714
"Kappa",0.570742240215924
"AccuracyLower",0.617739143253974
"AccuracyUpper",0.74340954074368
"AccuracyNull",0.330357142857143
"AccuracyPValue",4.64078850730712e-27
"McnemarPValue",NA
