"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",1,0.688679245283019,0.57803158610906,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"2","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",2,0.690566037735849,0.580641581712654,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"3","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",3,0.683018867924528,0.570411254993535,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"4","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",4,0.69622641509434,0.587911159190021,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"5","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",5,0.688679245283019,0.577615811513773,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"6","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",6,0.692452830188679,0.582523896508065,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"7","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",7,0.684905660377358,0.572289418620946,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"8","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",8,0.684905660377358,0.57245883267881,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"9","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",9,0.684905660377358,0.573089853227028,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
"10","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","rf",530,224,23,"noProc",10,0.681132075471698,0.567213146438218,0.691964285714286,0.58274391231575,0.627014289265969,0.75174962627592,0.330357142857143,2.32422241829485e-28,NA,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.914634146341463,0.923076923076923,0.863636363636364,0.886666666666667,0.75,0.65,0.547169811320755,0.773333333333333,0.892857142857143,0.91304347826087,0.888888888888889,0.89261744966443,0.75,0.65,0.547169811320755,0.773333333333333,0.7,0.619047619047619,0.604166666666667,0.783783783783784,0.724137931034483,0.634146341463415,0.574257425742574,0.778523489932886,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.1875,0.116071428571429,0.129464285714286,0.258928571428571,0.25,0.178571428571429,0.236607142857143,0.334821428571429,0.807317073170732,0.771062271062271,0.733901515151515,0.835225225225225
