"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.7,0.932926829268293,0.792452830188679,0.894736842105263,0.792452830188679,0.7,0.743362831858407,0.267857142857143,0.1875,0.236607142857143,0.816463414634146
"Class: Reproductive",0.5,0.901098901098901,0.538461538461538,0.886486486486487,0.538461538461538,0.5,0.518518518518519,0.1875,0.09375,0.174107142857143,0.700549450549451
"Class: Ripening",0.541666666666667,0.823863636363636,0.456140350877193,0.868263473053892,0.456140350877193,0.541666666666667,0.495238095238095,0.214285714285714,0.116071428571429,0.254464285714286,0.682765151515151
"Class: Vegetative",0.72972972972973,0.86,0.72,0.865771812080537,0.72,0.72972972972973,0.724832214765101,0.330357142857143,0.241071428571429,0.334821428571429,0.794864864864865
