"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",1,0.683018867924528,0.570143719917543,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"2","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",2,0.688679245283019,0.577980677354284,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"3","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",3,0.681132075471698,0.56800424423652,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"4","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",4,0.683018867924528,0.570415400202634,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"5","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",5,0.688679245283019,0.57795623678851,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"6","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",6,0.675471698113208,0.560331439485285,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"7","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",7,0.677358490566038,0.562807525325615,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"8","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",8,0.677358490566038,0.562875002411591,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"9","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",9,0.677358490566038,0.562619745090753,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
"10","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2","rf",530,224,6,"noProc",10,0.681132075471698,0.567795792318085,0.683035714285714,0.570742240215924,0.617739143253974,0.74340954074368,0.330357142857143,4.64078850730712e-27,NA,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.926829268292683,0.923076923076923,0.846590909090909,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.904761904761905,0.898395721925134,0.892215568862275,0.88,0.785714285714286,0.621621621621622,0.526315789473684,0.756756756756757,0.733333333333333,0.547619047619048,0.625,0.756756756756757,0.758620689655172,0.582278481012658,0.571428571428571,0.756756756756757,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.196428571428571,0.102678571428571,0.133928571428571,0.25,0.25,0.165178571428571,0.254464285714286,0.330357142857143,0.830081300813008,0.735347985347985,0.735795454545455,0.818378378378378
