"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.733333333333333,0.926829268292683,0.785714285714286,0.904761904761905,0.785714285714286,0.733333333333333,0.758620689655172,0.267857142857143,0.196428571428571,0.25,0.830081300813008
"Class: Reproductive",0.547619047619048,0.923076923076923,0.621621621621622,0.898395721925134,0.621621621621622,0.547619047619048,0.582278481012658,0.1875,0.102678571428571,0.165178571428571,0.735347985347985
"Class: Ripening",0.625,0.846590909090909,0.526315789473684,0.892215568862275,0.526315789473684,0.625,0.571428571428571,0.214285714285714,0.133928571428571,0.254464285714286,0.735795454545455
"Class: Vegetative",0.756756756756757,0.88,0.756756756756757,0.88,0.756756756756757,0.756756756756757,0.756756756756757,0.330357142857143,0.25,0.330357142857143,0.818378378378378
