"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.45,0.810975609756098,0.46551724137931,0.801204819277108,0.46551724137931,0.45,0.457627118644068,0.267857142857143,0.120535714285714,0.258928571428571,0.630487804878049
"Class: Reproductive",0.380952380952381,0.912087912087912,0.5,0.864583333333333,0.5,0.380952380952381,0.432432432432432,0.1875,0.0714285714285714,0.142857142857143,0.646520146520146
"Class: Ripening",0.479166666666667,0.772727272727273,0.365079365079365,0.84472049689441,0.365079365079365,0.479166666666667,0.414414414414414,0.214285714285714,0.102678571428571,0.28125,0.62594696969697
"Class: Vegetative",0.432432432432432,0.74,0.450704225352113,0.725490196078431,0.450704225352113,0.432432432432432,0.441379310344828,0.330357142857143,0.142857142857143,0.316964285714286,0.586216216216216
