"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0,1,NA,0.732142857142857,NA,0,NA,0.267857142857143,0,0,0.5
"Class: Reproductive",0.595238095238095,0.895604395604396,0.568181818181818,0.905555555555556,0.568181818181818,0.595238095238095,0.581395348837209,0.1875,0.111607142857143,0.196428571428571,0.745421245421245
"Class: Ripening",0.458333333333333,0.846590909090909,0.448979591836735,0.851428571428571,0.448979591836735,0.458333333333333,0.45360824742268,0.214285714285714,0.0982142857142857,0.21875,0.652462121212121
"Class: Vegetative",0.77027027027027,0.506666666666667,0.435114503816794,0.817204301075269,0.435114503816794,0.77027027027027,0.55609756097561,0.330357142857143,0.254464285714286,0.584821428571429,0.638468468468468
