"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.7,0.932926829268293,0.792452830188679,0.894736842105263,0.792452830188679,0.7,0.743362831858407,0.267857142857143,0.1875,0.236607142857143,0.816463414634146
"Class: Reproductive",0.619047619047619,0.923076923076923,0.65,0.91304347826087,0.65,0.619047619047619,0.634146341463415,0.1875,0.116071428571429,0.178571428571429,0.771062271062271
"Class: Ripening",0.625,0.892045454545455,0.612244897959184,0.897142857142857,0.612244897959184,0.625,0.618556701030928,0.214285714285714,0.133928571428571,0.21875,0.758522727272727
"Class: Vegetative",0.810810810810811,0.853333333333333,0.731707317073171,0.901408450704225,0.731707317073171,0.810810810810811,0.769230769230769,0.330357142857143,0.267857142857143,0.366071428571429,0.832072072072072
