"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.degree","results.scale","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.001,0.01,0.326415094339623,0,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"2","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.001,0.1,0.326415094339623,0,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"3","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.001,1,0.326415094339623,0,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"4","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.001,3,0.516981132075472,0.304707877893421,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"5","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.001,5,0.569811320754717,0.407603500257372,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"6","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.001,10,0.6,0.454981130977212,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"7","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.001,20,0.630188679245283,0.499959084060594,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"8","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.01,0.01,0.326415094339623,0,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"9","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.01,0.1,0.326415094339623,0,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
"10","Phase ~ LSWI + EVI","svmPoly",530,224,2,"noProc",1,0.01,1,0.6,0.454981130977212,0.625,0.491129381220251,0.558049095021917,0.688594792954004,0.330357142857143,1.89138078240852e-19,9.51068492030167e-07,0.65,0.380952380952381,0.6875,0.702702702702703,0.939024390243902,0.934065934065934,0.795454545454545,0.826666666666667,0.795918367346939,0.571428571428572,0.478260869565217,0.666666666666667,0.88,0.86734693877551,0.903225806451613,0.849315068493151,0.795918367346939,0.571428571428571,0.478260869565217,0.666666666666667,0.65,0.380952380952381,0.6875,0.702702702702703,0.715596330275229,0.457142857142857,0.564102564102564,0.684210526315789,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.174107142857143,0.0714285714285714,0.147321428571429,0.232142857142857,0.21875,0.125,0.308035714285714,0.348214285714286,0.794512195121951,0.657509157509158,0.741477272727273,0.764684684684685
