"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.666666666666667,0.945121951219512,0.816326530612245,0.885714285714286,0.816326530612245,0.666666666666667,0.73394495412844,0.267857142857143,0.178571428571429,0.21875,0.805894308943089
"Class: Reproductive",0.547619047619048,0.923076923076923,0.621621621621622,0.898395721925134,0.621621621621622,0.547619047619048,0.582278481012658,0.1875,0.102678571428571,0.165178571428571,0.735347985347985
"Class: Ripening",0.666666666666667,0.857954545454545,0.56140350877193,0.904191616766467,0.56140350877193,0.666666666666667,0.60952380952381,0.214285714285714,0.142857142857143,0.254464285714286,0.762310606060606
"Class: Vegetative",0.797297297297297,0.853333333333333,0.728395061728395,0.895104895104895,0.728395061728395,0.797297297297297,0.761290322580645,0.330357142857143,0.263392857142857,0.361607142857143,0.825315315315315
