"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.degree","results.scale","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.001,0.01,0.326415094339623,0,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"2","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.001,0.1,0.326415094339623,0,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"3","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.001,1,0.466037735849057,0.218044564004713,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"4","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.001,3,0.556603773584906,0.378362730712025,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"5","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.001,5,0.60188679245283,0.453701668254317,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"6","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.001,10,0.613207547169811,0.474275041491869,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"7","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.001,20,0.656603773584906,0.53586173048608,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"8","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.01,0.01,0.326415094339623,0,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"9","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.01,0.1,0.466037735849057,0.218044564004713,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
"10","Phase ~ Blue + Green + Red + NIR + SWIR1","svmPoly",530,224,5,"noProc",1,0.01,1,0.613207547169811,0.474275041491869,0.6875,0.575665728512665,0.622373499020095,0.747582836717194,0.330357142857143,1.04929310163124e-27,NA,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.945121951219512,0.923076923076923,0.857954545454545,0.853333333333333,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.885714285714286,0.898395721925134,0.904191616766467,0.895104895104895,0.816326530612245,0.621621621621622,0.56140350877193,0.728395061728395,0.666666666666667,0.547619047619048,0.666666666666667,0.797297297297297,0.73394495412844,0.582278481012658,0.60952380952381,0.761290322580645,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.178571428571429,0.102678571428571,0.142857142857143,0.263392857142857,0.21875,0.165178571428571,0.254464285714286,0.361607142857143,0.805894308943089,0.735347985347985,0.762310606060606,0.825315315315315
