"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.683333333333333,0.707317073170732,0.460674157303371,0.859259259259259,0.460674157303371,0.683333333333333,0.550335570469799,0.267857142857143,0.183035714285714,0.397321428571429,0.695325203252033
"Class: Reproductive",0.476190476190476,0.923076923076923,0.588235294117647,0.884210526315789,0.588235294117647,0.476190476190476,0.526315789473684,0.1875,0.0892857142857143,0.151785714285714,0.6996336996337
"Class: Ripening",0.604166666666667,0.789772727272727,0.439393939393939,0.879746835443038,0.439393939393939,0.604166666666667,0.508771929824561,0.214285714285714,0.129464285714286,0.294642857142857,0.696969696969697
"Class: Vegetative",0.283783783783784,0.906666666666667,0.6,0.71957671957672,0.6,0.283783783783784,0.385321100917431,0.330357142857143,0.09375,0.15625,0.595225225225225
