"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.65,0.939024390243902,0.795918367346939,0.88,0.795918367346939,0.65,0.715596330275229,0.267857142857143,0.174107142857143,0.21875,0.794512195121951
"Class: Reproductive",0.380952380952381,0.934065934065934,0.571428571428572,0.86734693877551,0.571428571428571,0.380952380952381,0.457142857142857,0.1875,0.0714285714285714,0.125,0.657509157509158
"Class: Ripening",0.6875,0.795454545454545,0.478260869565217,0.903225806451613,0.478260869565217,0.6875,0.564102564102564,0.214285714285714,0.147321428571429,0.308035714285714,0.741477272727273
"Class: Vegetative",0.702702702702703,0.826666666666667,0.666666666666667,0.849315068493151,0.666666666666667,0.702702702702703,0.684210526315789,0.330357142857143,0.232142857142857,0.348214285714286,0.764684684684685
