"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.75,0.939024390243902,0.818181818181818,0.911242603550296,0.818181818181818,0.75,0.782608695652174,0.267857142857143,0.200892857142857,0.245535714285714,0.844512195121951
"Class: Reproductive",0.547619047619048,0.928571428571429,0.638888888888889,0.898936170212766,0.638888888888889,0.547619047619048,0.58974358974359,0.1875,0.102678571428571,0.160714285714286,0.738095238095238
"Class: Ripening",0.666666666666667,0.852272727272727,0.551724137931034,0.903614457831325,0.551724137931034,0.666666666666667,0.60377358490566,0.214285714285714,0.142857142857143,0.258928571428571,0.759469696969697
"Class: Vegetative",0.77027027027027,0.88,0.76,0.885906040268456,0.76,0.77027027027027,0.76510067114094,0.330357142857143,0.254464285714286,0.334821428571429,0.825135135135135
