"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.7,0.939024390243902,0.807692307692308,0.895348837209302,0.807692307692308,0.7,0.75,0.267857142857143,0.1875,0.232142857142857,0.819512195121951
"Class: Reproductive",0.642857142857143,0.912087912087912,0.627906976744186,0.917127071823204,0.627906976744186,0.642857142857143,0.635294117647059,0.1875,0.120535714285714,0.191964285714286,0.777472527472527
"Class: Ripening",0.645833333333333,0.880681818181818,0.596153846153846,0.901162790697674,0.596153846153846,0.645833333333333,0.62,0.214285714285714,0.138392857142857,0.232142857142857,0.763257575757576
"Class: Vegetative",0.77027027027027,0.866666666666667,0.74025974025974,0.884353741496599,0.74025974025974,0.77027027027027,0.754966887417219,0.330357142857143,0.254464285714286,0.34375,0.818468468468468
