"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.716666666666667,0.939024390243902,0.811320754716981,0.900584795321637,0.811320754716981,0.716666666666667,0.761061946902655,0.267857142857143,0.191964285714286,0.236607142857143,0.827845528455285
"Class: Reproductive",0.595238095238095,0.917582417582418,0.625,0.907608695652174,0.625,0.595238095238095,0.609756097560976,0.1875,0.111607142857143,0.178571428571429,0.756410256410256
"Class: Ripening",0.666666666666667,0.869318181818182,0.581818181818182,0.905325443786982,0.581818181818182,0.666666666666667,0.621359223300971,0.214285714285714,0.142857142857143,0.245535714285714,0.767992424242424
"Class: Vegetative",0.783783783783784,0.88,0.763157894736842,0.891891891891892,0.763157894736842,0.783783783783784,0.773333333333333,0.330357142857143,0.258928571428571,0.339285714285714,0.831891891891892
