"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.716666666666667,0.945121951219512,0.826923076923077,0.901162790697674,0.826923076923077,0.716666666666667,0.767857142857143,0.267857142857143,0.191964285714286,0.232142857142857,0.830894308943089
"Class: Reproductive",0.547619047619048,0.923076923076923,0.621621621621622,0.898395721925134,0.621621621621622,0.547619047619048,0.582278481012658,0.1875,0.102678571428571,0.165178571428571,0.735347985347985
"Class: Ripening",0.645833333333333,0.863636363636364,0.563636363636364,0.899408284023669,0.563636363636364,0.645833333333333,0.601941747572815,0.214285714285714,0.138392857142857,0.245535714285714,0.754734848484849
"Class: Vegetative",0.810810810810811,0.866666666666667,0.75,0.902777777777778,0.75,0.810810810810811,0.779220779220779,0.330357142857143,0.267857142857143,0.357142857142857,0.838738738738739
