"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,1,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"2","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,2,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"3","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,4,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"4","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,8,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"5","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,16,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"6","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,32,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"7","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,64,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"8","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,128,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"9","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,256,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
"10","Phase ~ EVI","svmRadial",530,224,1,"noProc",2.98023223876953e-08,512,0.326415094339623,0,0.491071428571429,0.321428571428571,0.423872720791417,0.558509536553938,0.330357142857143,4.73612442422606e-07,8.87811435737748e-07,0.683333333333333,0.5,0.5625,0.283783783783784,0.695121951219512,0.923076923076923,0.795454545454545,0.906666666666667,0.45054945054945,0.6,0.428571428571429,0.6,0.857142857142857,0.888888888888889,0.869565217391304,0.71957671957672,0.450549450549451,0.6,0.428571428571429,0.6,0.683333333333333,0.5,0.5625,0.283783783783784,0.543046357615894,0.545454545454545,0.486486486486486,0.385321100917431,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.183035714285714,0.09375,0.120535714285714,0.09375,0.40625,0.15625,0.28125,0.15625,0.689227642276423,0.711538461538462,0.678977272727273,0.595225225225225
