"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.666666666666667,0.731707317073171,0.476190476190476,0.857142857142857,0.476190476190476,0.666666666666667,0.555555555555556,0.267857142857143,0.178571428571429,0.375,0.699186991869919
"Class: Reproductive",0.5,0.923076923076923,0.6,0.888888888888889,0.6,0.5,0.545454545454545,0.1875,0.09375,0.15625,0.711538461538462
"Class: Ripening",0.5625,0.801136363636364,0.435483870967742,0.87037037037037,0.435483870967742,0.5625,0.490909090909091,0.214285714285714,0.120535714285714,0.276785714285714,0.681818181818182
"Class: Vegetative",0.310810810810811,0.866666666666667,0.534883720930233,0.718232044198895,0.534883720930233,0.310810810810811,0.393162393162393,0.330357142857143,0.102678571428571,0.191964285714286,0.588738738738739
