"","Overall","Bare land","Reproductive","Ripening","Vegetative"
"Blue",76.6472919864113,76.6472919864113,76.6472919864113,76.6472919864113,76.6472919864113
"Green",100,100,100,100,100
"Red",7.8890886884936,7.8890886884936,7.8890886884936,7.8890886884936,7.8890886884936
"NIR",0,0,0,0,0
"SWIR1",83.5937717921852,83.5937717921852,83.5937717921852,83.5937717921852,83.5937717921852
