"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.75,0.914634146341463,0.76271186440678,0.909090909090909,0.76271186440678,0.75,0.756302521008403,0.267857142857143,0.200892857142857,0.263392857142857,0.832317073170732
"Class: Reproductive",0.476190476190476,0.884615384615385,0.48780487804878,0.879781420765027,0.48780487804878,0.476190476190476,0.481927710843373,0.1875,0.0892857142857143,0.183035714285714,0.68040293040293
"Class: Ripening",0.5,0.846590909090909,0.470588235294118,0.861271676300578,0.470588235294118,0.5,0.484848484848485,0.214285714285714,0.107142857142857,0.227678571428571,0.673295454545455
"Class: Vegetative",0.662162162162162,0.84,0.671232876712329,0.834437086092715,0.671232876712329,0.662162162162162,0.666666666666667,0.330357142857143,0.21875,0.325892857142857,0.751081081081081
