"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.7,0.914634146341463,0.75,0.892857142857143,0.75,0.7,0.724137931034483,0.267857142857143,0.1875,0.25,0.807317073170732
"Class: Reproductive",0.619047619047619,0.923076923076923,0.65,0.91304347826087,0.65,0.619047619047619,0.634146341463415,0.1875,0.116071428571429,0.178571428571429,0.771062271062271
"Class: Ripening",0.604166666666667,0.863636363636364,0.547169811320755,0.888888888888889,0.547169811320755,0.604166666666667,0.574257425742574,0.214285714285714,0.129464285714286,0.236607142857143,0.733901515151515
"Class: Vegetative",0.783783783783784,0.886666666666667,0.773333333333333,0.89261744966443,0.773333333333333,0.783783783783784,0.778523489932886,0.330357142857143,0.258928571428571,0.334821428571429,0.835225225225225
