"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.633333333333333,0.951219512195122,0.826086956521739,0.876404494382023,0.826086956521739,0.633333333333333,0.716981132075472,0.267857142857143,0.169642857142857,0.205357142857143,0.792276422764228
"Class: Reproductive",0.571428571428571,0.917582417582418,0.615384615384615,0.902702702702703,0.615384615384615,0.571428571428571,0.592592592592593,0.1875,0.107142857142857,0.174107142857143,0.744505494505495
"Class: Ripening",0.604166666666667,0.852272727272727,0.527272727272727,0.887573964497041,0.527272727272727,0.604166666666667,0.563106796116505,0.214285714285714,0.129464285714286,0.245535714285714,0.728219696969697
"Class: Vegetative",0.783783783783784,0.826666666666667,0.69047619047619,0.885714285714286,0.69047619047619,0.783783783783784,0.734177215189873,0.330357142857143,0.258928571428571,0.375,0.805225225225225
