"","Overall"
"GSAVI",100
"SWIR2",76.2208158130322
"GNDVI",47.8626156416343
"SWIR1",42.2253862073188
"SR",36.6003663949286
"CVI",32.9934211264191
"GLI",26.0806984426412
"EVI",13.7817081105967
"SAVI",7.68732890291662
"Blue",0
"Green",0
"Red",0
"NIR",0
"DVI",0
"EGI",0
"EVI2",0
"LSWI",0
"MNDWI",0
"MSAVI",0
"NDVI",0
"NDWI",0
"TVI",0
