"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.7,0.939024390243902,0.807692307692308,0.895348837209302,0.807692307692308,0.7,0.75,0.267857142857143,0.1875,0.232142857142857,0.819512195121951
"Class: Reproductive",0.571428571428571,0.928571428571429,0.648648648648649,0.903743315508021,0.648648648648649,0.571428571428571,0.607594936708861,0.1875,0.107142857142857,0.165178571428571,0.75
"Class: Ripening",0.666666666666667,0.852272727272727,0.551724137931034,0.903614457831325,0.551724137931034,0.666666666666667,0.60377358490566,0.214285714285714,0.142857142857143,0.258928571428571,0.759469696969697
"Class: Vegetative",0.77027027027027,0.866666666666667,0.74025974025974,0.884353741496599,0.74025974025974,0.77027027027027,0.754966887417219,0.330357142857143,0.254464285714286,0.34375,0.818468468468468
