"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Bare land",0.616666666666667,0.902439024390244,0.69811320754717,0.865497076023392,0.69811320754717,0.616666666666667,0.654867256637168,0.267857142857143,0.165178571428571,0.236607142857143,0.759552845528455
"Class: Reproductive",0.619047619047619,0.934065934065934,0.684210526315789,0.913978494623656,0.684210526315789,0.619047619047619,0.65,0.1875,0.116071428571429,0.169642857142857,0.776556776556777
"Class: Ripening",0.6875,0.840909090909091,0.540983606557377,0.907975460122699,0.540983606557377,0.6875,0.605504587155963,0.214285714285714,0.147321428571429,0.272321428571429,0.764204545454545
"Class: Vegetative",0.675675675675676,0.853333333333333,0.694444444444444,0.842105263157895,0.694444444444444,0.675675675675676,0.684931506849315,0.330357142857143,0.223214285714286,0.321428571428571,0.764504504504504
