"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.degree","results.nprune","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.Bare.land.Sensitivity","testCM.Class.Reproductive.Sensitivity","testCM.Class.Ripening.Sensitivity","testCM.Class.Vegetative.Sensitivity","testCM.Class.Bare.land.Specificity","testCM.Class.Reproductive.Specificity","testCM.Class.Ripening.Specificity","testCM.Class.Vegetative.Specificity","testCM.Class.Bare.land.Pos.Pred.Value","testCM.Class.Reproductive.Pos.Pred.Value","testCM.Class.Ripening.Pos.Pred.Value","testCM.Class.Vegetative.Pos.Pred.Value","testCM.Class.Bare.land.Neg.Pred.Value","testCM.Class.Reproductive.Neg.Pred.Value","testCM.Class.Ripening.Neg.Pred.Value","testCM.Class.Vegetative.Neg.Pred.Value","testCM.Class.Bare.land.Precision","testCM.Class.Reproductive.Precision","testCM.Class.Ripening.Precision","testCM.Class.Vegetative.Precision","testCM.Class.Bare.land.Recall","testCM.Class.Reproductive.Recall","testCM.Class.Ripening.Recall","testCM.Class.Vegetative.Recall","testCM.Class.Bare.land.F1","testCM.Class.Reproductive.F1","testCM.Class.Ripening.F1","testCM.Class.Vegetative.F1","testCM.Class.Bare.land.Prevalence","testCM.Class.Reproductive.Prevalence","testCM.Class.Ripening.Prevalence","testCM.Class.Vegetative.Prevalence","testCM.Class.Bare.land.Detection.Rate","testCM.Class.Reproductive.Detection.Rate","testCM.Class.Ripening.Detection.Rate","testCM.Class.Vegetative.Detection.Rate","testCM.Class.Bare.land.Detection.Prevalence","testCM.Class.Reproductive.Detection.Prevalence","testCM.Class.Ripening.Detection.Prevalence","testCM.Class.Vegetative.Detection.Prevalence","testCM.Class.Bare.land.Balanced.Accuracy","testCM.Class.Reproductive.Balanced.Accuracy","testCM.Class.Ripening.Balanced.Accuracy","testCM.Class.Vegetative.Balanced.Accuracy"
"1","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,2,0.488679245283019,0.301203177985686,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"2","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,4,0.637735849056604,0.510884455104326,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"3","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,6,0.669811320754717,0.554086538461538,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"4","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,8,0.69622641509434,0.589222444735423,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"5","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,10,0.694339622641509,0.586169002679828,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"6","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,12,0.688679245283019,0.578708521216326,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"7","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,14,0.690566037735849,0.581288025858788,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"8","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,16,0.690566037735849,0.581288025858788,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"9","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,18,0.690566037735849,0.581288025858788,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
"10","Phase ~ Blue + Green + Red + NIR + SWIR1 + SWIR2 + CVI + DVI + EGI + EVI + EVI2 + GLI + GNDVI + GSAVI + LSWI + MNDWI + MSAVI + NDVI + NDWI + SAVI + SR + TVI","fda",530,224,23,"noProc",1,20,0.690566037735849,0.581288025858788,0.651785714285714,0.529614473400818,0.585473136322913,0.714020209982969,0.330357142857143,8.75148472331803e-23,NA,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.902439024390244,0.934065934065934,0.840909090909091,0.853333333333333,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.865497076023392,0.913978494623656,0.907975460122699,0.842105263157895,0.69811320754717,0.684210526315789,0.540983606557377,0.694444444444444,0.616666666666667,0.619047619047619,0.6875,0.675675675675676,0.654867256637168,0.65,0.605504587155963,0.684931506849315,0.267857142857143,0.1875,0.214285714285714,0.330357142857143,0.165178571428571,0.116071428571429,0.147321428571429,0.223214285714286,0.236607142857143,0.169642857142857,0.272321428571429,0.321428571428571,0.759552845528455,0.776556776556777,0.764204545454545,0.764504504504504
